Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
5/17/2005,-99.7475905,32.44645,Abilene,TX,USA,Light,"two points of light traversing the west texas sky, one seemingly in pursuit of the other",,
8/24/1998,-106.650985,35.0841034,Albuquerque,NM,USA,Triangle,"My family and I were driving through the United States, and my father took a back road...and we stopped the car to take pictures of the",,
8/28/2008,-75.4712794,40.6022059,Allentown,PA,USA,Disk,Slowly hovering disk shaped object with a four pronged star-like shape on the bottom flying 60 feet above tree level.,,
12/29/2007,-93.4696031,41.6437308,Altoona,IA,USA,Unknown,strange pulsing light over Altoona Iowa,,
4/10/1982,-117.911732,33.8347516,Anaheim,CA,USA,Circle,We were at Disneyland walking around and I noticed a round orange sphere/UFO moving very slow in the sky. It was an odd orange color w,,
9/26/2020,-95.1620137,29.9990074,Atascocita,TX,USA,Orb,Saw the two lights hover,,Chinese Lantern?
4/3/1998,-84.3902644,33.7489924,Atlanta,GA,USA,Unknown,Large bright white light shot across sky going SSE towards Atlanta,,
4/22/1974,-105.4717013,39.4064662,Bailey,CO,USA,Circle,Red and blue flashing white moving round objects.,,
8/14/2008,-119.019463,35.3738712,Bakersfield,CA,USA,Unknown,I-5 UFO Sighting appox 40 miles north of Bakersfield,,
4/21/1939,-76.610759,39.2908816,Baltimore,MD,USA,Egg,"White egg shaped sphere hovering at a high altitude. I had to get binoculars to get a clearer picture. When it went behind some trees,",,
4/17/1946,-78.5480563,35.3814368,Benson,NC,USA,Fireball,"large, round, bright white light moving extremely fast at a low altitude.",,
5/14/2019,-105.10285440825687,40.326064,Berthoud,CO,USA,Circle,Circular shapes crafts with for Bright Lights,,
4/14/1997,-116.84503,34.2611183,Big Bear City,CA,USA,Oval,The object hovered over the airport then disappeared.,,
12/30/2021,-105.270545,40.0149856,Boulder,CO,USA,Changing,I saw two different (or changing) objects about two minutes apart but in the same approximate location.,Y,
4/28/2015,-82.2859247,27.937801,Brandon,FL,USA,Triangle,"Silent triangular UFO over Brandon, Florida.",,
4/13/1935,-82.2859247,27.937801,Brandon,FL,USA,Light,Amber lights moving around and then disappeared.,,
4/12/1967,-70.7088701,44.0543839,Bridgton,ME,USA,Light,"Several different orange red pulsing lights ball shaped, things with 5 witnesses that none of us could explain.",,
4/15/1973,-104.8110775,39.983721,Brighton,CO,USA,Formation,3 lights in triangle formation move north,,
4/30/1991,-117.9962165,33.870413,Buena Park,CA,USA,Light,"Strange light at the end of a strange cloud formation, resembling a swift jetstream. ((anonymous report))",,
4/11/1954,-101.9576725,33.7659165,Caldwell,TX,USA,Diamond,"We were walking with our church group and we were watching the stars then an intense noise rang out, but we couldn't see where it came",,
4/15/1973,-81.9438802,26.5625742,Cape Coral,FL,USA,Fireball,Glowing orange orb over Southwest Florida,,
6/6/2019,-117.3505966,33.1580933,Carlsbad,CA,USA,Disk,"The craft appeared from the direction of the ocean and they were the brightest lights ive ever seen in my life, bright orange.",,
