City,State,Country,Occurred,Lon,Lat,Shape,Summary,Media,Explanation
ELMHURST,IL,USA,5/26/2019,0.0,0.0,Formation,3 lights in symmetrical distance moving North East.,0,0
ENFIELD,CT,USA,10/1/2023,0.0,0.0,Chevron,We saw it. My husband did say ok my bf. Said he saw 20 of them the week before following each other,Y,Starlink?
EXPORT,PA,USA,2/14/2020,0.0,0.0,Flash,Irregular star like flashes,0,0
El Pescadero,CA,USA,11/12/2019,0.0,0.0,Orb,"My Wife and I photo 36 bead of lights as they fly down the Mexican Coastline. ((NUFORC Note: Cluster of ""Starlink"" satellites. PD))",0,0
El Reno,OK,USA,12/22/20074/17/19374/15/19464/17/20027/23/20239/13/200312/1/20017/3/20081/1/1981,0.0,0.0,ChangingOvalFireballOtherOrbTriangleFormationDiamondDisk,"COLOR CHANGING STROBE LIGHT OVER EL RENO, OKUFO over lucky star caught on camera up close.10 Orange orbs hovering in the sky then faded out.Strange Sights into the night!Orb of light flashing arc of light that as it went out like a shock wave lit up the sky and slowly disappeared in cloud of lightStrange Lights at El Reno ScalesOne large cigar-shaped craft surrounded by hundreds of smammer crafts all with long trails.White diamond shape' (s) over El Reno, OklahomaNew Years 1981 Crashing Disc",0,Rocket
El Rito,NM,USA,11/20/20035/27/20215/28/2009,0.0,0.0,FireballFormationLight,"A bright yellow egg-shaped firey object suddenly appeared in the west on 11/20/03 at l7:30 hours, suddenly vanishing and leaving a smokMultiple changing colored lights following a pathBright object descended rapidly, leaving a shower of sparks, and turned in a J shape, then stayed the same.",Y,0
El Segundo,CA,USA,1/1/19944/12/20081/7/20041/2/20043/3/20021/9/20061/1/19944/24/19812/18/20094/6/1985,0.0,0.0,OtherLightSphereTriangleSphereFireballOtherOtherOrbDisk,"What I'm seeing, please help.3 UFOs flying over LAX airport.High speed ball follows jet, and becomes two smaller objects.Bright shiny triangular object droped from the sky then vanishedsilver sphere over refinery by LAXRotating fire ball moving very fast, few hundred feet above the ground, south east end of LAXWhat I'm seeing, please help.I saw a pitch-black flying wing shaped object soar across a brightly lit area and then vanish into the dark.Floating Orb over LAXSighting off in El Porto (popular surfing area) in El Segundo, CA.",0,0
El Sobrante,CA,USA,2/27/20202/16/19754/8/20204/15/20205/30/2001,0.0,0.0,CircleCircleCircleFormationDisk,"There were 20 to 30 Lights flying in a single formation real fast. ((""Starlink"" satellites??))Bright, yellow/orange circle, 10 ft. in diameter, silent, slow moving, 5mph, 50 ft. above ground-2 minutes, chased & threw rocks at it.3 circular objects passing in front of moon in El Sobrante California.Around 5:20am i looked up and saw a line of ufo's at first i counted 10. ((Starlink satellites))My dog woke me up at 3:20 AM, whining as though he had to go do his duty. It is extremely rare that he will wake me up. I got up, let t",0,0
El Soreno,CA,USA,4/22/1961,0.0,0.0,Cigar,Large sized electric surveillance drone over Lincoln Heights/El Soreno.,0,0
El Toro,CA,USA,12/15/19946/15/20023/9/2023,0.0,0.0,LightOtherOther,Saw a light in the valley moving back and fourth directly over the El Toro Marine Corps Air Station. It left straight up when two F/A-1Standing at O'neill Reg. park. Facing the top of Saddleback Mtn.Object hung above to the right tip of mountain peak for about 15 min. WMechanical cogwheel looking large objects behind the cloud.,0,0
El Valle,NM,USA,12/3/2007,0.0,0.0,Sphere,Bright spherical object turning from white/yellow/orange/red moving NE across sky - just disappeared.,0,0
El Yunque (Puerto Rico),PR,USA,6/20/1977,0.0,0.0,Cigar,ufo 29 years ago,0,0
Elba,AL,USA,6/15/19769/16/2003,0.0,0.0,CigarLight,"We stopped at Dairy Queen had supper. Going to my aunt an uncle three hours away It was dusty dark came to three trundle Bridges shoullight in sky changing course moving at rapid rate of speed, no sound. Four witnesses",0,0
Elba,NY,USA,6/6/19984/14/1984,0.0,0.0,LightCircle,"Saw brief white light travel allong the horizon, stop midflight and then continue on a different course, at extreem rates of exelleraMultiple ufo",0,0
Elbe,WA,USA,8/13/2001,0.0,0.0,Oval,3 blue lights and 1 large orange object in the night sky NW of Mt Ranier.,0,0
Elberfeld,IN,USA,4/11/202311/16/19997/15/2003,0.0,0.0,LightFireballLight,"3 stars orions belt. Inside left of orions belt stars bright light very fast 4 times same star and stop.I was traveling home from work on I164 from Evansville, IN to Oakland City, IN. As I was approaching the I64 crossover, I saw a bright3 orange globes.",0,Satellite
Elberon,VA,USA,4/24/20158/31/2003,0.0,0.0,DiskOther,"This is incredible being it was taken with two different games cams. This rules out human error. movement to set them offAn object appearing to be wide with four lights, hovering, two on each end, with the outer lights being slightly larger than the 2nd",0,0
Elbert,CO,USA,4/25/20204/24/1949,0.0,0.0,FormationOther,"vertical formation of stars connected by a straight, bright white light.String of 5 Total Lights That Slowly Moved In A Span Of About 15 Minutes",0,0
Elberta,AL,USA,4/30/20224/21/198810/1/20196/6/2002,0.0,0.0,LightFireballOrbLight,"First spotted over water then 6 miles down the road and an hour later the same lights appear at my house ((NUFORC Note: Two planets.))Two bright orange fireballs moving from north to south at a high rate of speed.The incident took place at 1900 hours on October 1st 2019 in Elberta, Alabama. He primary witness gazed up into the relatively dark skyA stationary light no different in appearance then a star started to move in a straight line south at a high rate of speed and then dis",Y,0
Elbow Lake,MN,USA,4/22/1930,0.0,0.0,Circle,"Red ball of light shooting down from the sky slowly then rapidly shot toward the ground, and vanished.",0,0
Elbridge,NY,USA,1/30/1995,0.0,0.0,Other,"copper colored-top shaped UFO sighted in elbridge,ny",0,0
Elburn,IL,USA,9/18/20234/3/19464/17/1990,0.0,0.0,OvalFireballFireball,"High altitude, 3 contrails, strange shape. Suspected due to the reflection of the Sun but honestly can't tell it is really weird.A large, amber glowing circular flying object was spotted, staying stationary for 40 secs before shifting to the left and disappearingDriving west in Elburn, four passengers spotted four bright orange fireballs flying extremely fast in a straight diagonal line.",Y,Aircraft
Elcho,WI,USA,2/19/20024/22/19987/10/200411/5/2004,0.0,0.0,CircleTriangleDiamondFireball,"My mother came into my room,told me to look out the window, East, a cluster of lights( 4or 5) went from N to S in the distance above thV-like shape craft above Langlade County WI USAMulti-colored flashing lights hovering over small-town in Wisconsinclear blue sky big fireball with lots of white smoke looked huge",0,0
Elco,PA,USA,4/30/2018,0.0,0.0,Light,"I first saw a tiny dot at very high altitude, way too high to be an airliner, so I checked the position of the ISS and determined it wa",0,0
Eldersburg,MD,USA,4/18/20244/2/1957,0.0,0.0,OrbDisk,"We were on the back deck watching the fireworks, 20 minutes after they were done, saw 5 round orange orbs floating horizontally acrossSaucer shaped UFO with circularly flashing lights seen seemingly following highway.",0,0
Eldersburg/Randallstown,MD,USA,4/24/2008,0.0,0.0,Other,"Two Star-Like Craft Hover Over Randallstown/ Eldersburg Area, Dim down simultaneously and leave.",0,0
Eldon,MO,USA,4/19/19374/19/20188/15/20048/19/2006,0.0,0.0,TriangleRectangleLightLight,I was on my way home from a children's Halloween event and there was a triangle shape with yellowish or orange lights above the truck shuge triangle shaped with lights on the side huge roaring soundbright red light zig zag across sky then disappearExtreme speeds and angles of an UFO,0,0
Eldon (near; rural),MO,USA,3/16/1944,0.0,0.0,Other,Three red lights. Triangle looking satelite maybe.Moved at speed of light or close to it.,0,0
Eldora,IA,USA,7/4/20084/26/19848/15/20094/26/1984,0.0,0.0,DiskLightRectangleLight,"Very large disk shaped ufo stopped in mid air a number of times.Green light and green ring.Large, horizontal, whitish rectangle seen during the day.Three friends and I were walking at about 9:50. Not long after that, the area around us was lit up by a green ring. This green ring/lig",0,0
Eldorado,AR,USA,8/16/202312/3/20069/10/2000,0.0,0.0,ChangingOtherEgg,I thought that a airplane wing had fell offufo blows up leaves void then returns to original white light. ((NUFORC Note: Possibly a sighting of Sirius. PD))I SAW TWO UFOS CHASING EACH OTHER & STOP IN MID AIR! this is not the first ones i saw !.got witnesses,0,0
Eldorado,CA,USA,10/11/2020,0.0,0.0,Fireball,Large ball of fire streeked right above my trees seemed to disappear over trees,0,0
Eldorado,IL,USA,4/7/2027,0.0,0.0,Changing,Hundreds of people witness 6 different ufo's checked out and seemed threatened by a fireworks display in southern IL,0,0
Eldorado,KS,USA,4/10/1995,0.0,0.0,Orb,"Orange glowing Orb in El Dorado, Kansas",0,0
Eldorado,TX,USA,11/9/20074/4/1934,0.0,0.0,CigarTriangle,two cigar shaped objects slowly crossing over roadUfo in west TX,0,0
Eldorado Hills,CA,USA,10/7/2018,0.0,0.0,Other,"A very small, circular shape was seen casting down onto the apartment complexes in eldorado hills. It shone two bright, conelike beams",0,0
Eldorado Hills-Placerville (Hwy 50,CA,USA,7/6/2021,0.0,0.0,Triangle,"It appeared just as I crested over a hill, blatent and moving slowly and effortlessly just above the tree line.",0,0
Eldridge,AL,USA,9/4/2008,0.0,0.0,Diamond,"09/04/08 eldridge,al diamond object 0.5 seconds",0,0
Eldridge,CA,USA,2/1/2003,0.0,0.0,Fireball,Large slow moving ball of fire.,0,0
Eldridge,IA,USA,4/12/202310/28/200510/4/200910/4/20097/7/20084/12/1950,0.0,0.0,CircleDiskLightLightTriangleLight,"Bright orange/yellow with red trim circular fast moving quiet light.MISSOURI INVESTIGATORS GROUP Report: I saw a bright circular metal object in the sky which seemed to hover.Bright orange object seen flying E/SE out of atmosphere.Bright orange object seen flying E/SE out of atmosphere.Small triangle shaped lights moving through sky.Five orange lights, like stars in the cloudy sky, hovered motionless over a small city in Iowa.",0,0
Eldridge,MO,USA,4/18/1959,0.0,0.0,Circle,"I noticed in the sky above me, a stationary orange ball that seemed to be glowing with a slight flicker.",0,0
Eldridge (towards; going North on Utica Ridge Road),IA,USA,4/10/1986,0.0,0.0,Triangle,"Triangle UFO over farmhouse and trees on Utica Ridge Road, towards Eldridge, Iowa",0,0
Eleanor,WV,USA,8/15/1999,0.0,0.0,Cigar,Driving In Car when it appeared appeared in sky. It was long and silver with a long black line in the middle.,0,0
Electra,TX,USA,4/23/20157/15/20041/13/2009,0.0,0.0,CigarDiskOval,"I was driving south bound on US 287 on the out side lane. I looked up and saw an object that reminded me of those high end cigar tubesSaw craft with bright clear light illuminating from ""portholes"" hovering over a field near our houseSilver oval craft seen near Electra, Texas",0,0
Electric City,WA,USA,6/16/19704/11/20214/3/1970,0.0,0.0,EggSphereCircle,"Three Egg shaped objects flew thru the Coulee. There was a large one and two small objects flying together.. They all flashed colors ofGetting Power from the Grand Coulee Dam?Grand Coulee Damn sighting of ""fireball"" that turned in mid air while changing speeds intermitently.",0,0
Elephant Butte,NM,USA,4/14/2020,0.0,0.0,Other,A fleet of crafts clearly seen over elephant butte nm golf course bidding in the clouds.,0,0
Eleva,WI,USA,9/8/2009,0.0,0.0,Light,two synchronized lights moving slowing across the sky in a line formation,0,0
Eleven Mile State Park,CO,USA,4/6/1993,0.0,0.0,Light,Two bright white lights with a translucent veil. Traveling NE @ 4:30 am Eleven Mile State Park CO,0,0
Elfrida,AZ,USA,6/10/2019,0.0,0.0,Other,There was a single pyramid like craft with at least one area glowing in a dull red being chased in US airspace by approximately 4 fight,0,0
Elgin,IA,USA,4/27/2009,0.0,0.0,Light,Multiple red lights/balls taking off from ground in Iowa. ((anonymous report)),0,0
