Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
8/22/2006,-88.3142463,42.0480818,Elgin,IL,USA,Light,White lights with blue and red flashing lights around it,,
10/1/1998,-88.3142463,42.0480818,Elgin,IL,USA,Disk,"I can only say that I know what I saw, I even took a digital picture of it. 1:30 in the afternoon, clear blue sky, an airplane head",,
11/5/2001,-88.3142463,42.0480818,Elgin,IL,USA,Fireball,"Neon Green Light Spoted in Elgin, IL. 60120 at 21:04 hours Monday, November 5th 2001",,
9/25/2006,-88.3142463,42.0480818,Elgin,IL,USA,Rectangle,3 lights flew silently over Elgin Illinois at 22:15,,
3/8/2006,-88.3142463,42.0480818,Elgin,IL,USA,Fireball,orange fireball ball in east sky glowed for 2-3 minutes at about 4:17-4:20,,
4/7/2028,-88.3142463,42.0480818,Elgin,IL,USA,Fireball,Fireball in sky separating into two!,,
9/1/2018,-88.3142463,42.0480818,Elgin,IL,USA,Orb,Saw a black stationary orb in the sky in Elgin. ((anonymous report)),,
4/3/1961,-88.3142463,42.0480818,Elgin,IL,USA,Sphere,10 bright orange noiseless spheres flew over head in single file at intrevals of 10 to 15 seconds moving from S to N.,,
4/8/1948,-88.3142463,42.0480818,Elgin,IL,USA,Light,bright white ball of light moving fast and smooth and silent,,
4/17/1990,-88.3142463,42.0480818,Elgin,IL,USA,Fireball,Saw 2 fireball shapes flying side by side.,,
12/3/2021,-88.3142463,42.0480818,Elgin,IL,USA,Cylinder,Long cylinder flying high in the sky no noice or lights.,Y,Starlink
5/27/2023,-88.3142463,42.0480818,Elgin,IL,USA,Other,A bright circle of light,,
4/3/2029,-88.3142463,42.0480818,Elgin,IL,USA,Orb,"Firey orange orb seen in sky over Elgin, Illinois",,
4/13/1963,-88.3142463,42.0480818,Elgin,IL,USA,Orb,Silent reddish orange fire like spheres/orbs ( 5 ) following the direction of the wind blowing 1-2 k feet high,,
4/24/1966,-88.3142463,42.0480818,Elgin,IL,USA,Triangle,Triangle of lights in the sky to the south.,,
4/5/2020,-88.3142463,42.0480818,Elgin,IL,USA,Changing,We seen around 15 lights flying in The sky Triangle Circle and Line of lights in the sky from east side to the west,,
4/3/2029,-88.3142463,42.0480818,Elgin,IL,USA,Fireball,"Twinkling, firely light surrounded by or in front a red circular shape moved across the sky before hovering and dissappearing.",,
7/10/2019,-88.3142463,42.0480818,Elgin,IL,USA,Formation,"A few orange orbs appeared to make a formation along with another group, totaling around 10 orbs.",,
